	superkingdom	phylum	class	order	family	genus	species
GCF_900106785.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellamassilia	Prevotellamassilia timonensis
GCF_900106795.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Aequorivita	Aequorivita viscosa
GCF_900106805.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Ruegeria	Ruegeria halocynthiae
GCF_900106845.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Romboutsia	Romboutsia timonensis
GCF_900106855.1	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Varibaculum	Varibaculum massiliense
GCF_900106925.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa	Thiocapsa roseopersicina
GCF_900106945.1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter	Marinobacter mobilis
GCF_900106955.1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Aidingimonas	Aidingimonas halophila
GCF_900106975.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas kuykendallii
GCF_900106995.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	Saccharopolyspora shandongensis
GCF_900107015.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Litoreibacter	Litoreibacter albidus
GCF_900107035.1	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus hesperidum
GCF_900107045.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis xylanica
